Date,NOAA_id,Latitude,Longitude,Class,Time
20180105,12693,732,337,N,99:99
20180106,12693,830,343,N,99:99
20180107,12693,899,330,N,99:99
20180108,12693,916,332,N,99:99
20180109,12694,214,-461,N,99:99
20180109,12693,916,331,N,99:99
20180110,12694,402,-465,N,99:99
20180111,12694,555,-471,N,99:99
20180112,12695,914,-111,N,99:99
20180112,12694,687,-481,N,99:99
20180113,12694,778,-494,N,99:99
20180113,12695,959,-145,N,99:99
20180114,12694,822,-508,N,99:99
20180114,12695,962,-153,N,99:99
20180115,12694,826,-516,N,99:99
20180116,12696,-216,-109,N,99:99
20180117,12696,0,-139,N,99:99
20180118,12696,230,-140,N,99:99
20180119,12696,434,-128,N,99:99
20180120,12696,627,-138,N,99:99
20180121,12696,773,-151,N,99:99
20180122,12696,878,-167,N,99:99
20180123,12696,941,-187,N,99:99
20180124,12696,952,-203,N,99:99
20180125,12696,952,-203,N,99:99
20180131,12697,-565,-87,N,99:99
20180201,12697,-345,-56,N,99:99
20180202,12697,-117,-49,N,99:99
20180203,12698,-882,-6,N,99:99
20180203,12697,117,-48,N,99:99
20180204,12697,345,-53,N,99:99
20180204,12698,-746,17,N,99:99
20180205,12699,-858,-17,N,99:99
20180205,12697,553,-64,N,99:99
20180205,12698,-559,37,N,99:99
20180206,12699,-764,-34,C,18:45
20180206,12697,727,-81,N,99:99
20180206,12698,-333,51,N,99:99
20180207,12699,-608,-50,C,14:35
20180207,12699,-608,-50,C,13:31
20180207,12699,-608,-50,C,18:45
20180207,12697,857,-102,N,99:99
20180207,12698,-85,58,N,99:99
20180208,12699,-438,-37,N,99:99
20180208,12699,-438,-37,C,14:35
20180208,12699,-438,-37,C,13:31
20180208,12697,936,-126,N,99:99
20180208,12698,169,58,N,99:99
20180209,12699,-218,6,N,99:99
20180209,12697,959,-152,N,99:99
20180209,12698,411,50,N,99:99
20180210,12699,-16,-6,C,13:02
20180210,12698,625,35,N,99:99
20180211,12699,184,-7,N,99:99
20180211,12699,184,-7,C,13:02
20180211,12698,796,14,N,99:99
20180212,12699,424,-16,C,00:15
20180212,12699,424,-16,C,23:55
20180212,12698,912,-11,N,99:99
20180213,12699,634,-31,N,99:99
20180213,12699,634,-31,C,00:15
20180213,12698,966,-40,N,99:99
20180214,12699,801,-53,N,99:99
20180214,12698,969,-52,N,99:99
20180215,12699,879,-87,N,99:99
20180216,12699,947,-114,N,99:99
20180217,12699,960,-136,N,99:99
20180227,12700,408,210,N,99:99
20180228,12700,620,193,N,99:99
20180301,12700,769,190,N,99:99
20180302,12700,883,181,C,10:56
20180303,12700,946,138,N,99:99
20180303,12700,946,138,C,10:56
20180304,12700,959,114,N,99:99
20180316,12701,323,-89,N,99:99
20180317,12701,529,-102,N,99:99
20180318,12702,772,400,N,99:99
20180318,12701,702,-121,N,99:99
20180319,12702,867,346,N,99:99
20180319,12701,833,-144,N,99:99
20180320,12701,914,-171,N,99:99
20180320,12702,908,318,N,99:99
20180321,12701,941,-198,N,99:99
20180321,12702,909,309,N,99:99
20180331,12703,-685,-57,N,99:99
20180401,12703,-519,-42,N,99:99
20180402,12703,-326,-32,N,99:99
20180403,12703,-99,-27,N,99:99
20180404,12703,132,-29,N,99:99
20180405,12703,357,-36,N,99:99
20180406,12703,559,-49,N,99:99
20180407,12703,728,-67,N,99:99
20180408,12703,854,-88,N,99:99
20180409,12703,928,-112,N,99:99
20180410,12703,947,-134,N,99:99
20180411,12703,947,-134,N,99:99
20180413,12704,-568,240,N,99:99
20180414,12704,-351,284,N,99:99
20180415,12704,-163,288,N,99:99
20180416,12704,-16,288,N,99:99
20180417,12704,211,284,N,99:99
20180417,12705,328,360,N,99:99
20180418,12704,425,276,N,99:99
20180418,12705,525,348,N,99:99
20180419,12704,614,263,N,99:99
20180419,12705,690,333,N,99:99
20180420,12706,-818,110,N,99:99
20180420,12704,766,246,N,99:99
20180420,12705,814,315,N,99:99
20180421,12706,-698,124,N,99:99
20180421,12704,872,227,N,99:99
20180421,12705,889,296,N,99:99
20180422,12706,-534,135,N,99:99
20180422,12707,-322,-88,N,99:99
20180422,12704,926,207,N,99:99
20180422,12705,911,276,N,99:99
20180423,12706,-327,126,N,99:99
20180423,12704,932,196,N,99:99
20180423,12707,-98,-85,N,99:99
20180424,12706,-116,112,N,99:99
20180424,12707,131,-87,N,99:99
20180425,12706,133,111,N,99:99
20180425,12707,353,-93,N,99:99
20180426,12706,311,122,N,99:99
20180426,12707,553,-104,N,99:99
20180427,12706,561,110,N,99:99
20180427,12707,720,-117,N,99:99
20180428,12706,720,98,N,99:99
20180428,12707,837,-132,N,99:99
20180429,12706,841,83,N,99:99
20180429,12707,910,-147,N,99:99
20180430,12706,923,66,N,99:99
20180430,12707,937,-164,N,99:99
20180501,12706,950,48,N,99:99
20180505,12708,-654,-104,N,99:99
20180507,12708,-274,-110,N,99:99
20180508,12708,-49,-126,N,99:99
20180509,12708,163,-95,N,99:99
20180509,12709,-786,113,N,99:99
20180510,12708,351,-117,N,99:99
20180510,12709,-647,121,N,99:99
20180511,12709,-460,127,N,99:99
20180511,12708,551,-124,N,99:99
20180512,12709,-245,130,N,99:99
20180512,12708,718,-133,N,99:99
20180513,12709,49,145,N,99:99
20180513,12708,873,-148,N,99:99
20180514,12709,181,110,N,99:99
20180514,12708,914,-155,N,99:99
20180515,12708,933,-165,N,99:99
20180515,12709,416,105,N,99:99
