Date,NOAA_id,Latitude,Longitude,Area,Class,Time
20220101,12916,821,-244,0420,N,99:99
20220101,12918,888,374,0020,N,99:99
20220101,12919,434,-157,0010,N,99:99
20220101,12922,-194,-236,0030,N,99:99
20220101,12917,868,-442,0,N,99:99
20220102,12916,888,-286,0390,N,99:99
20220102,12918,903,363,0010,N,99:99
20220102,12922,16,-233,0020,N,99:99
20220102,12923,816,-475,0020,N,99:99
20220102,12919,612,-178,0,N,99:99
20220103,12916,925,-297,0320,N,99:99
20220103,12922,226,-233,0020,N,99:99
20220103,12919,770,-187,0,N,99:99
20220103,12923,834,-498,0,N,99:99
20220104,12916,937,-269,0140,N,99:99
20220104,12919,882,-197,0,N,99:99
20220104,12922,439,-236,0,N,99:99
20220104,12923,835,-502,0,N,99:99
20220105,12924,-487,-475,0030,N,99:99
20220105,12919,941,-210,0,N,99:99
20220105,12922,626,-242,0,N,99:99
20220106,12924,-314,-453,0030,N,99:99
20220106,12925,-679,-517,0240,N,99:99
20220106,12919,950,-219,0,N,99:99
20220106,12922,775,-251,0,N,99:99
20220107,12924,-116,-448,0190,N,99:99
20220107,12925,-553,-506,0080,N,99:99
20220107,12922,877,-263,0,N,99:99
20220108,12924,87,-446,0430,N,99:99
20220108,12924,87,-446,0430,C,22:01
20220108,12925,-393,-497,0100,N,99:99
20220108,12922,927,-278,0,N,99:99
20220109,12924,188,-446,0430,N,99:99
20220109,12925,-270,-462,0100,N,99:99
20220109,12922,932,-285,0,N,99:99
20220110,12924,367,-448,0380,N,99:99
20220110,12925,-100,-473,0080,N,99:99
20220110,12927,-743,-294,0080,N,99:99
20220110,12926,327,410,0,N,99:99
20220111,12924,527,-454,0350,N,99:99
20220111,12925,85,-471,0080,N,99:99
20220111,12927,-603,-282,0100,N,99:99
20220111,12926,510,405,0,N,99:99
20220112,12924,660,-463,0350,N,99:99
20220112,12925,267,-473,0080,N,99:99
20220112,12926,672,380,0050,N,99:99
20220112,12927,-431,-272,0080,N,99:99
20220113,12924,758,-474,0370,N,99:99
20220113,12925,434,-477,0080,N,99:99
20220113,12926,784,399,0030,N,99:99
20220113,12927,-238,-265,0080,N,99:99
20220113,12928,224,-248,0030,N,99:99
20220114,12924,821,-488,0390,N,99:99
20220114,12925,589,-486,0080,N,99:99
20220114,12926,869,384,0030,N,99:99
20220114,12927,-16,-261,0080,N,99:99
20220114,12928,434,-253,0070,N,99:99
20220114,12929,50,212,0010,N,99:99
20220114,12930,111,421,0010,N,99:99
20220114,12931,599,277,0010,N,99:99
20220115,12924,852,-472,0220,N,99:99
20220115,12925,687,-494,0050,N,99:99
20220115,12926,921,315,0020,N,99:99
20220115,12927,175,-261,0050,C,18:31
20220115,12928,587,-293,0020,N,99:99
20220115,12929,283,210,0100,N,99:99
20220115,12930,297,419,0020,N,99:99
20220115,12931,780,263,0100,N,99:99
20220116,12924,835,-501,0180,N,99:99
20220116,12925,755,-520,0050,N,99:99
20220116,12926,921,314,0010,N,99:99
